method,method_family,filter_variant,dataset,source_model,scenario,evaluation,k,requirements_total,requirements_with_ground_truth,ground_truth_links_total,correctly_retrieved_links,requirement_hit_at_k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_linked_resolved,50,30,27,85,49,0.8518518518518519,0.0362962962962963,0.7193432928727047,0.06544997103755276,0.14873766709776687,0.16926163776716993
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,actions_all,1,36,36,129,13,0.3611111111111111,0.3611111111111111,0.28518518518518515,0.3057539682539682,0.3611111111111111,0.3611111111111111
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,actions_orphan,1,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,actions_with_linked_widget,1,36,36,129,13,0.3611111111111111,0.3611111111111111,0.28518518518518515,0.3057539682539682,0.3611111111111111,0.3611111111111111
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_linked_widgets,1,36,36,199,5,0.1388888888888889,0.1388888888888889,0.052182539682539685,0.07407407407407407,0.1388888888888889,0.1388888888888889
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,1,36,36,296,5,0.1388888888888889,0.1388888888888889,0.04060846560846561,0.062037037037037036,0.1388888888888889,0.1388888888888889
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,widgets_all_resolved,1,36,36,167,2,0.05555555555555555,0.05555555555555555,0.028571428571428567,0.02932098765432099,0.05555555555555555,0.05555555555555555
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,widgets_functional_resolved,1,36,29,143,2,0.06896551724137931,0.06896551724137931,0.0354679802955665,0.03639846743295019,0.06896551724137931,0.06896551724137931
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,widgets_linked_resolved,1,36,36,70,1,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,actions_all,5,36,36,129,25,0.5833333333333334,0.1388888888888889,0.5153439153439154,0.2090737884597534,0.23620370370370372,0.4222222222222222
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,actions_orphan,5,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,actions_with_linked_widget,5,36,36,129,25,0.5833333333333334,0.1388888888888889,0.5153439153439154,0.2090737884597534,0.23620370370370372,0.4222222222222222
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_linked_widgets,5,36,36,199,21,0.4444444444444444,0.11666666666666667,0.2772507970424637,0.15984277324449525,0.10863425925925925,0.24722222222222223
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,5,36,36,296,23,0.4722222222222222,0.1277777777777778,0.24361984466151132,0.15281930052661838,0.09696759259259259,0.25416666666666665
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,widgets_all_resolved,5,36,36,167,18,0.3333333333333333,0.1,0.2283068783068783,0.10654761904761906,0.11604938271604939,0.13611111111111113
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,widgets_functional_resolved,5,36,29,143,17,0.3793103448275862,0.11724137931034483,0.26617405582922826,0.12241379310344828,0.14061302681992335,0.1620689655172414
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,widgets_linked_resolved,5,36,36,70,10,0.2777777777777778,0.05555555555555555,0.2638888888888889,0.09126984126984128,0.09166666666666666,0.09444444444444444
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,actions_all,10,36,36,129,39,0.75,0.10833333333333334,0.685515873015873,0.17469899399247224,0.251958013143529,0.44382716049382714
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,actions_orphan,10,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,actions_with_linked_widget,10,36,36,129,39,0.75,0.10833333333333334,0.685515873015873,0.17469899399247224,0.251958013143529,0.44382716049382714
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_linked_widgets,10,36,36,199,31,0.5277777777777778,0.08611111111111111,0.3910277608194275,0.13756195459154474,0.1232465146552448,0.2577160493827161
VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,36,36,296,40,0.5555555555555556,0.1111111111111111,0.3431496743996744,0.14407390652459515,0.11567547801013409,0.2646604938271605
