direction,method,method_family,filter_variant,dataset,source_model,scenario,evaluation,k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k,hit_at_k
backward,JSM,IR,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.053452115812917596,0.13392724573125464,0.07400837840704211,0.1159985152190052,0.12806236080178174,0.14699331848552338
backward,JSM,IR,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.07246376811594202,0.18768115942028984,0.10123188405797102,0.1433574879227053,0.14492753623188406,0.1934782608695652
backward,JSM,IR,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.049494949494949494,0.1292929292929293,0.06956228956228956,0.10867003367003368,0.1101010101010101,0.13333333333333333
backward,JSM,IR,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.052149400986610285,0.13479059699989931,0.07327594885734422,0.1220342964529011,0.1280831571529246,0.14482029598308668
backward,JSM,IR,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.04960924226979273,0.12646958885490994,0.0692247949128683,0.11244195265601993,0.12283384301732926,0.1365953109072375
backward,Qwen3 0.6B,CE,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.09273182957393483,0.21386800334168754,0.12041214146477304,0.18226120857699807,0.18713450292397663,0.22807017543859648
backward,Qwen3 0.6B,CE,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.07123436650353453,0.17074497009244155,0.0943447525829255,0.1426046764545949,0.14382816748232735,0.17781402936378465
backward,Qwen3 0.6B,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.0688622754491018,0.16847733105218135,0.09461077844311377,0.12899201596806387,0.13522954091816367,0.17365269461077845
backward,Qwen3 0.6B,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.07797270955165692,0.18942495126705652,0.10646755778334727,0.1566358024691358,0.16593567251461988,0.19883040935672514
backward,Qwen3 0.6B,CE,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.07933042212518195,0.1804949053857351,0.10235322658903445,0.15835759340126151,0.16193595342066958,0.19213973799126638
backward,Qwen3 0.6B,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.05616942909760589,0.13328729281767956,0.07398710865561695,0.1130294659300184,0.11395027624309392,0.13950276243093923
backward,Qwen3 0.6B,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.061452513966480445,0.1529462623038042,0.08521880819366853,0.11859869646182496,0.12756052141527002,0.16061452513966482
backward,Qwen3 0.6B,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.0556910569105691,0.13987804878048782,0.07723867595818816,0.1190040650406504,0.1258130081300813,0.1475609756097561
backward,Qwen3 4B,CE,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.08185985592665357,0.1899148657498363,0.10702903296223533,0.17283344247980792,0.17518009168303864,0.20039292730844793
backward,Qwen3 4B,CE,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.0676190476190476,0.17238095238095238,0.09279365079365079,0.1498809523809524,0.15333333333333332,0.18142857142857144
backward,Qwen3 4B,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.0625287356321839,0.16418390804597702,0.08880459770114943,0.11563218390804597,0.12229885057471265,0.17103448275862068
backward,Qwen3 4B,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.07484890748489074,0.19397954439795445,0.10516703194527463,0.15783356578335658,0.17154811715481172,0.20781032078103207
backward,Qwen3 4B,CE,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.07413793103448275,0.16954022988505746,0.09613026819923372,0.1568007662835249,0.1600574712643678,0.1810344827586207
backward,Qwen3 4B,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.052543085329970575,0.1343001261034048,0.07204707860445565,0.11685582177385456,0.11937788986969315,0.14123581336696092
backward,Qwen3 4B,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.05838779956427015,0.153781512605042,0.08300653594771241,0.11241830065359477,0.11830065359477124,0.15947712418300652
backward,Qwen3 4B,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.06042416966786714,0.1594637855142057,0.08561710398445092,0.12965186074429771,0.13705482192877153,0.16686674669867949
backward,Jina v3,CE,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.09320695102685624,0.21761453396524486,0.12156398104265402,0.17509215376513954,0.179304897314376,0.22985781990521326
backward,Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.07683803206191266,0.1865671641791045,0.10281923714759536,0.17021374608439285,0.17744610281923714,0.19900497512437812
backward,Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.06047619047619047,0.14629931972789115,0.08255442176870749,0.11210317460317461,0.12214285714285714,0.15714285714285714
backward,Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.06940639269406393,0.16710045662100456,0.09421395955642531,0.14178082191780822,0.15228310502283104,0.1780821917808219
backward,Jina v3,CE,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.06900800985828712,0.1589648798521257,0.08940234134319162,0.1367837338262477,0.1401725200246457,0.16820702402957485
backward,Jina v3,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.059379217273954114,0.1452991452991453,0.07971210076473235,0.13472784525416104,0.13787674313990103,0.1524966261808367
backward,Jina v3,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.058688674919761576,0.14243793803628743,0.08003864544442262,0.107786947883234,0.11852361302154975,0.15405777166437415
backward,Jina v3,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.05800653594771241,0.14281045751633986,0.07977649393090569,0.1210511982570806,0.13174019607843138,0.15318627450980393
backward,Stella 1.5B,CE,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.10323089046493301,0.23916469661150513,0.13483057525610717,0.20245600210139217,0.20724980299448387,0.2553191489361702
backward,Stella 1.5B,CE,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.07570977917981073,0.1861198738170347,0.10168243953732913,0.16285488958990535,0.1650893796004206,0.19400630914826497
backward,Stella 1.5B,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.06915422885572138,0.1723276474769012,0.09574982231698649,0.1351575456053068,0.14477611940298507,0.18208955223880596
backward,Stella 1.5B,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.07857491459248414,0.1988530990727184,0.10898696228125218,0.1735806084268749,0.18911664226451927,0.21669106881405564
backward,Stella 1.5B,CE,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.08366013071895424,0.19509803921568628,0.10954248366013072,0.1721677559912854,0.17352941176470588,0.20588235294117646
backward,Stella 1.5B,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.06129753914988814,0.14899328859060404,0.081834451901566,0.1325503355704698,0.1342281879194631,0.15570469798657718
backward,Stella 1.5B,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.0684608120868744,0.17224133279374074,0.09497504384189938,0.1364494806421152,0.14636449480642114,0.18413597733711048
backward,Stella 1.5B,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.06290849673202614,0.15894607843137254,0.08729866946778711,0.1385825163398693,0.15257352941176472,0.17401960784313725
